customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,Churn
Cust_41,Male,1,,,41,Yes,Yes,DSL,No internet service,No,0
Cust_42,Male,0,Yes,No,19,No,No,DSL,No,Yes,1
Cust_43,Female,0,No,Yes,2,No,Yes,No,No internet service,No internet service,0
Cust_44,,0,Yes,Yes,,No,No phone service,No,Yes,No internet service,0
Cust_45,Female,1,No,,16,No,No phone service,No,Yes,No internet service,1
Cust_46,Female,0,No,No,22,No,No phone service,,No,No,0
Cust_47,Female,1,No,No,14,Yes,Yes,,Yes,Yes,0
Cust_48,Male,,Yes,No,56,No,Yes,,Yes,,1
Cust_49,Female,1,No,No,65,No,No,No,,No,1
Cust_50,Female,1,Yes,No,45,No,No,No,Yes,No internet service,0
Cust_51,Male,1,Yes,No,54,Yes,Yes,Fiber optic,No,No internet service,1
Cust_52,Female,,No,Yes,66,,No phone service,Fiber optic,,,1
Cust_53,Male,1,Yes,Yes,46,Yes,Yes,DSL,No,No,0
Cust_54,Female,1,Yes,No,33,No,,Fiber optic,No,No internet service,1
Cust_55,Male,0,Yes,No,50,Yes,,Fiber optic,,No internet service,1
Cust_56,Female,1,No,No,22,Yes,Yes,Fiber optic,No,Yes,0
Cust_57,Female,1,Yes,,40,,Yes,DSL,Yes,No internet service,1
Cust_58,Male,0,Yes,No,,No,Yes,Fiber optic,No internet service,No internet service,0
Cust_59,Male,0,No,Yes,41,No,No phone service,,No internet service,Yes,0
Cust_60,Male,0,No,Yes,,,,DSL,No internet service,No,1
Cust_61,,1,Yes,,7,No,No phone service,Fiber optic,No,Yes,0
Cust_62,Male,0,Yes,,71,Yes,No,DSL,,Yes,1
Cust_63,,0,Yes,Yes,4,,No phone service,Fiber optic,No internet service,No internet service,0
Cust_64,Male,0,Yes,Yes,59,No,No,DSL,No,No,0
Cust_65,Male,1,No,Yes,26,Yes,,No,Yes,No internet service,1
Cust_66,Female,0,No,Yes,31,Yes,Yes,Fiber optic,Yes,No,1
Cust_67,Female,1,Yes,,69,Yes,No phone service,Fiber optic,Yes,Yes,1
Cust_68,Male,1,No,No,52,Yes,Yes,DSL,No,No,1
Cust_69,,0,Yes,Yes,72,No,Yes,No,Yes,No internet service,0
Cust_70,Female,1,No,Yes,21,No,Yes,Fiber optic,Yes,No,0
Cust_71,Female,1,No,Yes,16,Yes,No phone service,No,No,No,1
Cust_72,Female,0,Yes,No,,Yes,Yes,Fiber optic,No,No,0
Cust_73,Male,1,Yes,No,16,No,No phone service,No,Yes,No internet service,1
Cust_74,Female,0,,Yes,18,Yes,No,Fiber optic,No internet service,Yes,1
Cust_75,Male,,Yes,No,47,Yes,No phone service,DSL,No internet service,,0
Cust_76,Female,1,No,Yes,56,Yes,No phone service,DSL,No,No,0
Cust_77,Female,0,No,Yes,28,No,No phone service,No,,No,1
Cust_78,Female,0,Yes,Yes,56,No,No,Fiber optic,No,No,0
Cust_79,Male,1,No,Yes,37,No,No,Fiber optic,No internet service,Yes,1
Cust_80,Female,1,No,Yes,,Yes,No,No,,,1
Cust_81,Male,0,Yes,,65,No,Yes,Fiber optic,No internet service,No,1
Cust_82,Female,,Yes,Yes,60,Yes,No phone service,DSL,No,No,1
Cust_83,Male,1,No,Yes,61,No,No phone service,Fiber optic,No internet service,,0
Cust_84,Female,1,Yes,Yes,11,Yes,Yes,DSL,No,Yes,0
Cust_85,,1,Yes,Yes,66,Yes,Yes,No,Yes,Yes,0
Cust_86,Male,0,No,No,32,No,No phone service,Fiber optic,No,No internet service,1
Cust_87,Female,0,No,Yes,19,No,Yes,No,Yes,,1
Cust_88,Male,,Yes,Yes,56,Yes,Yes,DSL,Yes,No,1
Cust_89,Female,0,No,No,,Yes,No,No,,Yes,1
Cust_90,Female,,Yes,Yes,3,,Yes,No,No,Yes,0
Cust_91,Female,0,Yes,Yes,,Yes,Yes,Fiber optic,No internet service,No,1
Cust_92,Female,,No,,72,Yes,No phone service,No,No,No,1
Cust_93,Female,0,No,Yes,29,No,Yes,,No,No,1
Cust_94,Female,1,Yes,No,59,,Yes,Fiber optic,No,Yes,0
Cust_95,Female,1,Yes,,,No,,No,No internet service,,1
Cust_96,Female,1,Yes,Yes,22,No,No,DSL,,No internet service,0
Cust_97,Female,0,,No,71,No,No phone service,Fiber optic,No,Yes,1
Cust_98,Female,1,Yes,Yes,23,No,No,DSL,No internet service,No internet service,0
Cust_99,Female,0,No,Yes,70,Yes,Yes,Fiber optic,No,No internet service,1
Cust_100,Male,1,Yes,No,40,No,No phone service,No,No internet service,Yes,0
Cust_101,Male,1,No,Yes,14,No,No phone service,DSL,No internet service,No,0
Cust_102,Female,0,Yes,No,29,No,Yes,DSL,Yes,No internet service,0
Cust_103,Female,1,No,,16,Yes,No,DSL,No internet service,No,1
Cust_104,Female,1,Yes,No,,,Yes,,No,,0
Cust_105,Female,1,Yes,Yes,47,No,No,DSL,No internet service,Yes,0
Cust_106,,1,Yes,Yes,4,No,Yes,DSL,No internet service,,0
Cust_107,Female,0,Yes,No,12,Yes,No phone service,No,No,No internet service,0
Cust_108,Female,1,No,Yes,42,Yes,No phone service,No,No internet service,No internet service,0
Cust_109,Female,1,No,No,4,,No,No,,Yes,0
Cust_110,Male,0,No,,6,No,Yes,DSL,Yes,No internet service,0
Cust_111,Female,1,No,No,14,Yes,No,DSL,Yes,,0
Cust_112,Male,,No,No,35,Yes,No phone service,DSL,,No internet service,1
Cust_113,Female,1,Yes,Yes,47,Yes,No phone service,Fiber optic,No,No,0
Cust_114,Female,1,No,No,58,No,No,DSL,No,Yes,0
Cust_115,,0,No,Yes,65,Yes,No,DSL,Yes,No internet service,0
Cust_116,Female,1,No,Yes,19,,No,Fiber optic,No,No internet service,0
Cust_117,Male,0,No,No,57,No,No,Fiber optic,No internet service,,0
Cust_118,Female,1,Yes,No,,No,No,DSL,No internet service,No internet service,1
Cust_119,Female,1,Yes,Yes,13,No,Yes,Fiber optic,,Yes,1
Cust_120,Male,1,,No,8,Yes,No,DSL,Yes,No internet service,0
Cust_121,,0,Yes,Yes,18,Yes,No,No,Yes,No internet service,1
Cust_122,Male,1,No,No,35,No,No phone service,No,No,No,1
Cust_123,Female,1,No,Yes,26,,No phone service,No,No,No,1
Cust_124,Male,0,,Yes,38,No,,No,No,No internet service,1
Cust_125,Male,0,Yes,No,66,No,No,Fiber optic,Yes,,0
Cust_126,Female,0,,Yes,26,Yes,No,DSL,No,,1
Cust_127,,0,No,Yes,57,Yes,No phone service,Fiber optic,No internet service,No internet service,1
Cust_128,Male,1,,No,,No,No phone service,No,No internet service,Yes,0
Cust_129,Female,1,Yes,,30,Yes,No phone service,,No internet service,No internet service,0
Cust_130,Female,1,Yes,No,7,Yes,,DSL,Yes,Yes,0
Cust_131,Female,1,Yes,No,27,Yes,No,Fiber optic,No,Yes,0
Cust_132,Male,0,No,No,,Yes,Yes,,No,No internet service,1
Cust_133,Male,1,No,Yes,8,No,No phone service,Fiber optic,Yes,No,1
Cust_134,Male,1,No,Yes,11,Yes,No phone service,DSL,Yes,No internet service,1
Cust_135,Male,1,Yes,No,,No,,DSL,No internet service,No internet service,1
Cust_136,Male,1,No,Yes,15,Yes,No phone service,Fiber optic,Yes,No,1
Cust_137,Male,0,No,Yes,56,Yes,No phone service,DSL,No internet service,No,1
Cust_138,Male,1,Yes,Yes,35,No,No,Fiber optic,No internet service,Yes,0
Cust_139,,1,Yes,Yes,39,Yes,No,Fiber optic,No,No internet service,1
Cust_140,Male,1,Yes,,24,No,No phone service,Fiber optic,No internet service,No,0
Cust_141,Female,,Yes,,8,Yes,No phone service,No,,No,1
Cust_142,Male,0,Yes,No,43,No,No,No,No internet service,Yes,0
Cust_143,Female,1,Yes,Yes,42,,No,Fiber optic,No,No internet service,0
Cust_144,Female,,No,Yes,41,No,,DSL,Yes,No,0
Cust_145,Female,1,No,No,47,Yes,No,DSL,No,Yes,1
Cust_146,Male,0,No,No,26,No,,No,Yes,Yes,1
Cust_147,Male,1,No,No,52,Yes,No phone service,Fiber optic,No,Yes,1
Cust_148,Male,1,No,No,22,No,No phone service,,Yes,Yes,1
Cust_149,Male,1,No,Yes,5,No,,Fiber optic,Yes,No internet service,1
Cust_150,Female,0,Yes,No,15,Yes,No,DSL,Yes,No internet service,0
Cust_151,Male,1,Yes,No,36,No,,DSL,No internet service,No,1
Cust_152,Male,1,Yes,Yes,63,No,No phone service,No,Yes,No,0
Cust_153,Male,0,No,No,49,Yes,No phone service,DSL,No,No,0
Cust_154,Male,0,No,No,55,Yes,Yes,Fiber optic,Yes,No,1
Cust_155,Male,1,,No,72,Yes,No,,Yes,No,1
Cust_156,Female,0,Yes,No,60,No,No,DSL,,Yes,0
Cust_157,,1,Yes,No,57,,Yes,No,Yes,No internet service,1
Cust_158,Female,0,Yes,Yes,29,,No phone service,Fiber optic,No,Yes,0
Cust_159,Male,0,Yes,Yes,19,,No phone service,No,Yes,No internet service,0
Cust_160,,1,No,Yes,10,Yes,No,No,No,Yes,1
Cust_161,Male,1,No,Yes,,No,No,DSL,No,Yes,0
Cust_162,Male,1,No,Yes,57,Yes,No phone service,Fiber optic,Yes,No,1
Cust_163,Female,0,Yes,No,54,No,Yes,Fiber optic,Yes,No internet service,1
Cust_164,Female,1,No,No,56,Yes,Yes,No,Yes,,0
Cust_165,Female,1,Yes,,68,Yes,Yes,No,Yes,No internet service,1
Cust_166,Male,1,No,No,69,Yes,No,DSL,Yes,,0
Cust_167,Female,1,Yes,No,55,No,Yes,Fiber optic,Yes,No,1
Cust_168,Male,1,Yes,No,69,No,No,Fiber optic,No internet service,No,0
Cust_169,Male,0,No,No,72,No,No,DSL,Yes,No,1
Cust_170,Female,,No,No,1,Yes,No phone service,,No internet service,Yes,1
Cust_171,,1,No,No,12,No,No phone service,Fiber optic,No internet service,No internet service,0
Cust_172,,0,No,No,35,No,,,No internet service,No,1
Cust_173,Male,1,No,No,33,Yes,Yes,No,Yes,No,1
Cust_174,Female,1,Yes,No,25,Yes,No,DSL,No,No,0
Cust_175,,1,No,No,16,Yes,No phone service,Fiber optic,,No,1
Cust_176,Female,1,No,Yes,8,Yes,,No,No,No internet service,1
Cust_177,Male,1,Yes,No,,No,No,DSL,Yes,,0
Cust_178,,0,No,Yes,46,Yes,Yes,DSL,,Yes,1
Cust_179,Male,0,Yes,No,11,No,Yes,DSL,No,No,1
Cust_180,Male,0,No,No,61,Yes,No,Fiber optic,Yes,Yes,1
Cust_181,Male,1,,No,44,No,No phone service,Fiber optic,Yes,No,1
Cust_182,Male,,Yes,Yes,11,Yes,No,Fiber optic,No internet service,No,1
Cust_183,Female,1,No,Yes,11,Yes,,DSL,Yes,No internet service,1
Cust_184,Male,1,No,No,22,Yes,Yes,Fiber optic,No,Yes,1
Cust_185,Male,1,No,No,62,,No phone service,DSL,Yes,Yes,0
Cust_186,Male,0,No,No,48,Yes,Yes,,Yes,No,1
Cust_187,Female,,Yes,No,63,No,Yes,DSL,No,No internet service,0
Cust_188,,0,Yes,Yes,51,No,No phone service,No,No,No,0
Cust_189,Male,1,No,Yes,,,Yes,DSL,Yes,No internet service,1
Cust_190,Female,0,No,No,33,No,No,Fiber optic,Yes,Yes,0
Cust_191,Male,1,Yes,Yes,60,No,No,DSL,Yes,No internet service,0
Cust_192,Male,0,Yes,Yes,2,Yes,No phone service,Fiber optic,No,Yes,0
Cust_193,Male,0,No,No,13,Yes,No,No,No internet service,Yes,1
Cust_194,Male,1,Yes,No,,No,No,No,Yes,,0
Cust_195,Male,1,Yes,No,57,No,No,DSL,Yes,No,0
Cust_196,Female,0,Yes,Yes,43,,No,Fiber optic,Yes,No,1
Cust_197,Female,0,Yes,No,45,No,Yes,No,No internet service,,0
Cust_198,Female,0,,Yes,31,No,No,No,Yes,No,0
Cust_199,Male,1,,No,,Yes,No phone service,No,No internet service,,0
Cust_200,Male,1,No,No,23,No,Yes,Fiber optic,,No internet service,0
Cust_201,Male,0,,,29,Yes,No,DSL,No,,0
Cust_202,,0,,Yes,31,No,,DSL,,,1
Cust_203,Male,1,No,Yes,18,Yes,No phone service,No,No,No,1
Cust_204,Male,0,No,,11,,Yes,DSL,,Yes,1
Cust_205,,1,Yes,Yes,47,No,No,No,No,No internet service,1
Cust_206,Male,1,Yes,Yes,3,Yes,No phone service,Fiber optic,No internet service,,0
Cust_207,,1,,No,2,Yes,Yes,DSL,Yes,No,1
Cust_208,Female,1,No,Yes,54,,Yes,Fiber optic,No,No,1
Cust_209,,1,No,Yes,72,No,No,DSL,No internet service,No internet service,1
Cust_210,,1,,No,31,No,No phone service,Fiber optic,,Yes,1
Cust_211,Male,0,,Yes,8,No,No phone service,Fiber optic,No internet service,No,0
Cust_212,Male,1,Yes,Yes,43,No,No,DSL,No,Yes,1
Cust_213,Male,1,No,No,48,Yes,No,No,No internet service,No internet service,1
Cust_214,Male,0,Yes,No,2,Yes,No,No,Yes,No internet service,1
Cust_215,Male,1,Yes,No,22,Yes,No phone service,Fiber optic,Yes,No internet service,0
Cust_216,Male,0,Yes,Yes,5,Yes,,Fiber optic,No internet service,No,1
Cust_217,Female,1,Yes,No,7,Yes,No,No,,No,0
Cust_218,Male,0,No,Yes,20,Yes,,DSL,Yes,No,1
Cust_219,Female,0,Yes,No,2,Yes,Yes,DSL,Yes,,1
Cust_220,Male,1,No,Yes,32,No,Yes,Fiber optic,No internet service,No internet service,0
Cust_221,Male,1,,No,3,No,No phone service,DSL,Yes,,0
Cust_222,Male,1,Yes,No,41,,No,Fiber optic,No internet service,No,1
Cust_223,Female,1,Yes,No,42,Yes,No phone service,DSL,No,No,1
Cust_224,Female,0,No,Yes,45,No,Yes,Fiber optic,No internet service,,1
Cust_225,Female,,Yes,Yes,71,Yes,No,DSL,No internet service,No internet service,0
Cust_226,Female,0,Yes,No,17,,No phone service,Fiber optic,No,No,0
Cust_227,Male,1,Yes,No,47,No,No phone service,No,No internet service,Yes,0
Cust_228,Female,0,,No,69,Yes,Yes,No,No internet service,Yes,0
Cust_229,Male,1,No,No,24,No,No,No,No,No,0
Cust_230,Male,1,No,Yes,71,No,No phone service,No,Yes,No,0
Cust_231,Female,0,Yes,No,34,No,No phone service,Fiber optic,Yes,No,1
Cust_232,Female,,Yes,No,50,Yes,Yes,DSL,Yes,,1
Cust_233,Female,0,No,Yes,42,Yes,No,,Yes,Yes,1
Cust_234,Female,,No,Yes,33,No,Yes,Fiber optic,Yes,No internet service,0
Cust_235,Female,,No,No,,Yes,No phone service,Fiber optic,No,,1
Cust_236,Female,1,Yes,No,,No,No,DSL,No,No internet service,1
Cust_237,Female,0,No,Yes,19,No,Yes,Fiber optic,No internet service,No internet service,0
Cust_238,Female,0,Yes,Yes,3,,No,No,Yes,No,1
Cust_239,Male,1,No,No,71,No,,No,No,No,0
Cust_240,Female,1,No,Yes,25,No,No,Fiber optic,No,No,0
Cust_241,,0,Yes,Yes,,No,No phone service,No,Yes,No internet service,1
Cust_242,Male,1,No,No,,No,No,No,No,No,1
Cust_243,Female,1,,No,23,,,DSL,No internet service,No internet service,1
Cust_244,Male,1,No,Yes,11,No,No,Fiber optic,No internet service,No internet service,1
Cust_245,Male,0,Yes,,59,No,,Fiber optic,Yes,No,0
Cust_246,Female,0,No,No,34,Yes,No phone service,,Yes,No,0
Cust_247,Male,1,No,No,7,Yes,Yes,Fiber optic,Yes,No internet service,0
Cust_248,Male,1,Yes,No,44,No,No,,No internet service,Yes,1
Cust_249,,0,,No,64,,No phone service,No,No,Yes,1
Cust_250,Male,1,Yes,Yes,23,No,No phone service,No,No internet service,No internet service,0
Cust_251,Female,0,Yes,Yes,58,No,No,Fiber optic,Yes,No,0
Cust_252,,1,No,No,20,,No,DSL,No,No,1
Cust_253,,1,No,No,27,No,No,No,No internet service,No,1
Cust_254,Male,1,No,,,Yes,,Fiber optic,Yes,No internet service,1
Cust_255,Male,0,No,Yes,8,No,No,No,Yes,No,1
Cust_256,Male,0,,Yes,67,No,No phone service,Fiber optic,,,0
Cust_257,Male,0,No,Yes,2,Yes,Yes,Fiber optic,No internet service,Yes,0
Cust_258,Female,0,Yes,Yes,22,Yes,No,DSL,No,No,0
Cust_259,Female,1,No,No,70,Yes,Yes,,No,No internet service,1
Cust_260,Male,1,No,No,36,Yes,Yes,DSL,No internet service,Yes,0
Cust_261,Male,0,Yes,Yes,,,Yes,No,No internet service,No,0
Cust_262,Female,1,No,Yes,12,,No phone service,DSL,No internet service,No,1
Cust_263,Male,1,No,No,22,No,No phone service,No,,,1
Cust_264,Male,0,No,No,23,No,No phone service,DSL,No,No internet service,1
Cust_265,,,Yes,No,63,Yes,No phone service,DSL,No internet service,No internet service,1
Cust_266,Female,1,Yes,No,30,Yes,Yes,,No internet service,Yes,1
Cust_267,Female,,No,No,19,No,No phone service,DSL,,No internet service,0
Cust_268,Female,1,Yes,Yes,26,Yes,Yes,DSL,No internet service,No,1
Cust_269,Male,1,No,No,11,Yes,Yes,No,Yes,No internet service,0
Cust_270,Male,1,No,Yes,20,Yes,No phone service,No,,Yes,0
Cust_271,,0,No,Yes,56,No,Yes,Fiber optic,Yes,Yes,1
Cust_272,Female,0,Yes,,,Yes,No phone service,No,Yes,Yes,1
Cust_273,,,No,Yes,68,No,Yes,Fiber optic,No,No,1
Cust_274,Female,1,No,Yes,,No,No,DSL,No,No,0
Cust_275,Male,,No,No,58,No,No phone service,No,No,No,0
Cust_276,,,No,Yes,10,Yes,Yes,,No internet service,Yes,1
Cust_277,Male,0,No,No,22,Yes,No phone service,No,No,No internet service,0
Cust_278,Female,0,,No,71,No,Yes,Fiber optic,No internet service,No,1
Cust_279,Male,1,No,Yes,24,No,No phone service,Fiber optic,No,Yes,1
Cust_280,Female,1,Yes,No,66,Yes,No,No,Yes,Yes,0
Cust_281,Female,1,No,No,61,No,No,DSL,No,No,1
Cust_282,Female,1,,Yes,7,Yes,No phone service,DSL,Yes,No internet service,0
Cust_283,Female,1,No,,72,No,No phone service,Fiber optic,,No,1
Cust_284,Male,0,No,Yes,38,Yes,Yes,Fiber optic,No,No internet service,1
Cust_285,Female,1,Yes,Yes,21,Yes,Yes,DSL,No,Yes,0
Cust_286,Male,1,Yes,,,No,No phone service,No,Yes,Yes,1
Cust_287,,1,No,Yes,28,No,No,No,No,Yes,1
Cust_288,Male,0,Yes,,54,Yes,No,DSL,,,1
Cust_289,Male,1,Yes,Yes,31,No,,DSL,Yes,No,0
Cust_290,Female,0,,No,,No,Yes,DSL,No internet service,No,1
Cust_291,,0,No,No,37,No,No phone service,Fiber optic,No internet service,No internet service,0
Cust_292,,0,No,Yes,38,Yes,No phone service,DSL,Yes,No,1
Cust_293,Male,0,No,Yes,51,No,No,,No internet service,No internet service,1
Cust_294,Female,0,No,No,37,No,,DSL,No,No,0
Cust_295,Female,,Yes,No,31,,Yes,DSL,No internet service,No,0
Cust_296,Female,1,No,Yes,62,No,Yes,No,No,No internet service,0
Cust_297,Female,0,Yes,No,18,,No phone service,No,Yes,No,1
Cust_298,Male,,No,No,6,No,No phone service,DSL,No,Yes,1
Cust_299,,0,No,Yes,9,Yes,No phone service,Fiber optic,No internet service,Yes,1
Cust_300,Female,1,Yes,Yes,11,Yes,,Fiber optic,No,No internet service,1
Cust_301,Male,1,No,No,2,No,No,No,No internet service,No,0
Cust_302,Male,0,Yes,Yes,29,No,Yes,Fiber optic,No,No internet service,0
Cust_303,Male,,Yes,Yes,51,Yes,Yes,Fiber optic,Yes,No internet service,1
Cust_304,Female,1,Yes,,69,No,Yes,No,Yes,No,0
Cust_305,,0,No,Yes,23,No,Yes,,No,Yes,0
Cust_306,,0,,Yes,7,Yes,No,DSL,Yes,Yes,1
Cust_307,Female,1,No,No,56,No,No phone service,,No,No,0
Cust_308,Female,1,No,Yes,62,,Yes,DSL,No internet service,Yes,0
Cust_309,Female,1,,No,15,No,Yes,,No,No internet service,0
Cust_310,Female,0,No,Yes,53,Yes,No phone service,No,No internet service,,1
Cust_311,Female,0,Yes,Yes,43,No,No,No,,No internet service,0
Cust_312,Male,0,,,35,Yes,No,No,No internet service,Yes,1
Cust_313,Female,1,No,Yes,14,Yes,Yes,Fiber optic,Yes,No,1
Cust_314,Male,1,No,Yes,69,Yes,,No,No,No,1
Cust_315,Male,0,,Yes,49,No,Yes,No,Yes,No internet service,0
Cust_316,Female,1,Yes,Yes,18,No,,No,Yes,No internet service,0
Cust_317,Male,0,,Yes,51,Yes,,No,No internet service,No internet service,0
Cust_318,Male,1,,Yes,1,Yes,No phone service,DSL,Yes,Yes,0
Cust_319,Male,,Yes,No,27,No,No,No,No internet service,,0
Cust_320,Female,1,Yes,Yes,64,No,No,No,Yes,No,0
Cust_321,Female,1,No,Yes,,,No phone service,Fiber optic,Yes,Yes,0
Cust_322,Male,0,Yes,No,41,No,No phone service,Fiber optic,No,No,0
Cust_323,Female,0,Yes,No,21,,No,DSL,No,No internet service,0
Cust_324,Female,0,No,No,14,Yes,Yes,No,No internet service,No,0
Cust_325,Female,0,No,Yes,20,No,No,,Yes,No,0
Cust_326,Female,,Yes,No,11,No,Yes,No,Yes,Yes,1
Cust_327,Male,1,No,No,66,No,No phone service,Fiber optic,No,,0
Cust_328,,0,No,Yes,24,Yes,Yes,DSL,No internet service,No internet service,0
Cust_329,Female,0,Yes,,,No,No phone service,Fiber optic,No,Yes,1
Cust_330,Female,0,No,Yes,24,No,Yes,,Yes,Yes,1
Cust_331,,0,Yes,Yes,15,Yes,Yes,Fiber optic,No internet service,,0
Cust_332,Male,0,Yes,Yes,12,Yes,No phone service,No,Yes,No internet service,0
Cust_333,Female,1,No,Yes,64,No,Yes,No,No,No,1
Cust_334,Male,,Yes,Yes,31,No,No,No,No internet service,,0
Cust_335,Female,0,Yes,No,53,Yes,Yes,DSL,No,No internet service,1
Cust_336,Female,0,No,Yes,72,Yes,,Fiber optic,Yes,No internet service,1
Cust_337,Male,1,No,No,44,No,No phone service,No,,No internet service,1
Cust_338,Male,1,No,Yes,30,No,Yes,No,No,No,1
Cust_339,,0,No,No,35,Yes,Yes,DSL,,,0
Cust_340,Female,0,Yes,Yes,21,No,No,DSL,No,No,1
Cust_341,Male,1,No,Yes,63,Yes,No,No,No,Yes,1
Cust_342,Female,,No,,17,Yes,No phone service,No,No internet service,Yes,0
Cust_343,Male,,Yes,No,12,No,No,,Yes,No,1
Cust_344,,0,Yes,No,18,No,No,No,Yes,No internet service,1
Cust_345,Male,0,Yes,,60,Yes,No,DSL,No,Yes,1
Cust_346,Male,1,Yes,Yes,67,,Yes,Fiber optic,No internet service,No,1
Cust_347,Male,0,No,Yes,15,Yes,,DSL,,No internet service,1
Cust_348,Female,1,No,No,16,No,Yes,DSL,Yes,Yes,0
Cust_349,,1,Yes,Yes,22,Yes,Yes,Fiber optic,No internet service,,0
Cust_350,Male,1,Yes,No,63,,Yes,No,No internet service,,1
Cust_351,Female,0,Yes,Yes,31,Yes,No,,No,No internet service,0
Cust_352,Male,1,Yes,No,,No,No,Fiber optic,,No internet service,0
Cust_353,Male,,No,No,6,Yes,Yes,DSL,No internet service,,1
Cust_354,Female,0,Yes,Yes,9,No,Yes,No,Yes,No,1
Cust_355,Female,1,No,No,52,No,No phone service,Fiber optic,,No internet service,1
Cust_356,Male,0,,Yes,62,Yes,,Fiber optic,No internet service,No internet service,1
Cust_357,Female,1,,Yes,58,,No,Fiber optic,No,No internet service,1
Cust_358,Female,0,,Yes,,Yes,,No,No,No internet service,1
Cust_359,Male,1,No,No,13,No,No,Fiber optic,Yes,No internet service,0
Cust_360,Male,1,No,No,32,Yes,No phone service,,Yes,No internet service,0
Cust_361,Female,1,Yes,No,9,No,Yes,DSL,,Yes,0
Cust_362,Male,1,No,Yes,49,,Yes,Fiber optic,Yes,No internet service,1
Cust_363,Male,,Yes,Yes,37,No,No,Fiber optic,Yes,No,1
Cust_364,Female,0,No,No,31,No,No,Fiber optic,,,1
Cust_365,Male,0,No,Yes,31,No,No,DSL,No,No,1
Cust_366,Male,1,Yes,Yes,59,No,No,No,,No,1
Cust_367,Female,1,Yes,No,,Yes,No phone service,DSL,No,Yes,0
Cust_368,Female,,No,No,19,Yes,Yes,Fiber optic,No,Yes,0
Cust_369,,0,No,Yes,63,No,,No,No,No,1
Cust_370,Male,0,Yes,Yes,,No,Yes,No,Yes,No,0
Cust_371,Female,1,No,No,45,Yes,Yes,Fiber optic,No,,0
Cust_372,Female,,Yes,No,43,,No phone service,Fiber optic,,No,0
Cust_373,Female,1,Yes,Yes,1,Yes,No,,,,0
Cust_374,Female,1,Yes,Yes,61,,No phone service,DSL,,Yes,0
